WKT,SA22018_V1_00,SA22018_V1_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE,Shape_X,Shape_Y
"POINT (1613848.9085 6108453.6934)",100600,Ahipara,4.5292775,4.5292775,1613848.90845,6108453.6934,-35.16675416,173.15207521,1613848.9085,6108453.6934
"POINT (1573131.4057 5198362.7773)",315900,Sovereign Palms,1.91527989,1.91527989,1573131.4057,5198362.77725,-43.36711702,172.66837672,1573131.4057,5198362.7773
"POINT (1593572.8784 6170194.3632)",100100,North Cape,826.78512205,826.78512205,1593572.8784,6170194.36315,-34.61007635,172.92989799,1593572.8784,6170194.3632
"POINT (1618240.5121 6131279.1511)",100200,Rangaunu Harbour,272.10405305,272.10405305,1618240.5121,6131279.1511,-34.96086021,173.19979717,1618240.5121,6131279.1511
"POINT (1663918.8511 6112747.1)",100300,Inlets Far North District,0,625.97275382,1663918.85115,6112747.1,-35.12610467,173.70153988,1663918.8511,6112747.1
"POINT (1633415.6879 6134785.8689)",100400,Karikari Peninsula,174.18081591,174.18081591,1633415.68785,6134785.86885,-34.92885178,173.3658754,1633415.6879,6134785.8689
"POINT (1616675.7772 6109747.4583)",100500,Tangonge,177.20434269,177.20434269,1616675.77715,6109747.4583,-35.15504513,173.18309085,1616675.7772,6109747.4583
"POINT (1624073.0286 6115410.045)",100700,Kaitaia East,5.26631029,5.26631029,1624073.02855,6115410.04495,-35.10383477,173.26414302,1624073.0286,6115410.045
"POINT (1623547.1738 6113964.7406)",100800,Kaitaia West,3.21185052,3.21185052,1623547.1738,6113964.7406,-35.11687978,173.25841423,1623547.1738,6113964.7406
"POINT (1627741.3042 6113216.7167)",100900,Rangitihi,84.66042662,84.66042662,1627741.30415,6113216.71665,-35.12351796,173.30446653,1627741.3042,6113216.7167
"POINT (1642074.8591 6123166.0213)",101000,Oruru-Parapara,103.28072757,103.28072757,1642074.8591,6123166.02125,-35.03330752,173.46127127,1642074.8591,6123166.0213
"POINT (1646334.5359 6127202.1685)",101100,Taumarumaru,10.2297234,10.2297234,1646334.53585,6127202.16855,-34.99672682,173.50774402,1646334.5359,6127202.1685
"POINT (1625281.6804 6101034.166)",101200,Herekino-Takahue,303.69091784,303.69091784,1625281.6804,6101034.166,-35.23343366,173.27784549,1625281.6804,6101034.166
"POINT (1640437.8972 6114569.8671)",101300,Peria,199.69058441,199.69058441,1640437.8972,6114569.8671,-35.11088648,173.44374495,1640437.8972,6114569.8671
"POINT (1652674.8984 6124787.468)",101400,Taemaro-Oruaiti,156.73427166,156.73427166,1652674.8984,6124787.468,-35.01818965,173.57737313,1652674.8984,6124787.468
"POINT (1659988.1255 6119942.0967)",101500,Whakapaku,200.87343203,200.87343203,1659988.12545,6119942.09665,-35.06147153,173.65787962,1659988.1255,6119942.0967
"POINT (1630741.3489 6086036.7722)",101600,Hokianga North,345.93522228,345.93522228,1630741.3489,6086036.77215,-35.3685101,173.33840891,1630741.3489,6086036.7722
"POINT (1642158.3941 6094688.9203)",101700,Kohukohu-Broadwood,209.19924258,209.19924258,1642158.3941,6094688.92025,-35.29007937,173.46364191,1642158.3941,6094688.9203
"POINT (1677725.43 6119874.0541)",101800,Whakarara,169.49143734,169.49143734,1677725.43,6119874.05405,-35.06087413,173.85239107,1677725.43,6119874.0541
"POINT (1667702.3839 6109614.3951)",101900,Kaeo,255.57977504,255.57977504,1667702.38385,6109614.39505,-35.15410315,173.74331968,1667702.3839,6109614.3951
"POINT (1656175.3702 6094800.639)",102000,Omahuta Forest-Horeke,463.54915239,463.54915239,1656175.3702,6094800.639,-35.28838298,173.61778061,1656175.3702,6094800.639
"POINT (1643948.1421 6074946.1727)",102100,Hokianga South,126.08745475,126.08745475,1643948.14205,6074946.17265,-35.46801387,173.48438703,1643948.1421,6074946.1727
"POINT (1681069.4755 6106745.1743)",102200,Lake Manuwai-Kapiro,59.06085734,59.06085734,1681069.47545,6106745.17425,-35.17898315,173.89034745,1681069.4755,6106745.1743
"POINT (1671911.4646 6094885.3557)",102300,Okaihau,147.59027666,160.01971243,1671911.4646,6094885.3557,-35.28661159,173.79081555,1671911.4646,6094885.3557
"POINT (1690544.8433 6110260.798)",102400,Rangitane-Purerua,123.18645582,123.18645582,1690544.8433,6110260.798,-35.14647726,173.99401194,1690544.8433,6110260.798
"POINT (1683367.1489 6103889.2866)",102500,Waipapa,9.15899721,9.15899721,1683367.14885,6103889.28655,-35.20454373,173.91586781,1683367.1489,6103889.2866
"POINT (1682176.1845 6098662.9188)",102600,Puketotara,55.26424098,55.26424098,1682176.1845,6098662.9188,-35.2517628,173.90330753,1682176.1845,6098662.9188
"POINT (1657103.1515 6072747.7433)",102700,Waima Forest,236.99516982,236.99516982,1657103.15145,6072747.7433,-35.48716638,173.62952632,1657103.1515,6072747.7433
"POINT (1687602.2238 6103459.2968)",102800,Riverview,6.21930008,6.21930008,1687602.2238,6103459.29685,-35.20805962,173.9624342,1687602.2238,6103459.2968
"POINT (1646329.2604 6062371.3166)",102900,Waipoua Forest,277.80801476,277.80801476,1646329.2604,6062371.3166,-35.58128435,173.51134902,1646329.2604,6062371.3166
"POINT (1686540.0073 6101582.4649)",103000,Kerikeri Central,3.71173696,3.71173696,1686540.0073,6101582.46485,-35.22507309,173.95096304,1686540.0073,6101582.4649
"POINT (1687214.6611 6099974.4898)",103100,Kerikeri South,15.46843227,15.46843227,1687214.66105,6099974.48975,-35.23951186,173.95854622,1687214.6611,6099974.4898
"POINT (1678149.0902 6089443.304)",103200,Ohaeawai-Waimate North,87.40452306,87.40452306,1678149.0902,6089443.304,-35.33520904,173.85992372,1678149.0902,6089443.304
"POINT (1691119.5193 6095544.7111)",103300,Puketona-Waitangi,156.38492968,156.38492968,1691119.51925,6095544.71105,-35.27910182,174.00194892,1691119.5193,6095544.7111
"POINT (1673606.7458 6080121.6934)",103400,Ngapuhi,175.39009407,175.39009407,1673606.74575,6080121.69335,-35.41959762,173.81078637,1673606.7458,6080121.6934
"POINT (1672426.8724 6081426.043)",103500,Kaikohe,5.67512268,5.67512268,1672426.8724,6081426.04295,-35.40792422,173.79767516,1672426.8724,6081426.043
"POINT (1689196.0867 6087204.6261)",103600,Pakaraka,72.33748195,72.33748195,1689196.08665,6087204.6261,-35.35446636,173.98171003,1689196.0867,6087204.6261
"POINT (1695892.1483 6095438.2904)",103700,Haruru,1.52772435,1.52772435,1695892.14825,6095438.2904,-35.27961525,174.0544334,1695892.1483,6095438.2904
"POINT (1702290.3296 6097927.8352)",103800,Russell,3.27931477,3.27931477,1702290.32955,6097927.8352,-35.25653762,174.12446613,1702290.3296,6097927.8352
"POINT (1698818.8875 6094997.8438)",103900,Paihia,2.2421089,2.2421089,1698818.88745,6094997.84375,-35.28330128,174.0866639,1698818.8875,6094997.8438
"POINT (1672999.1358 6065978.4669)",104000,Mataraua Forest,272.9269353,272.9269353,1672999.13575,6065978.46685,-35.54715526,173.80536516,1672999.1358,6065978.4669
"POINT (1691057.5355 6075409.6045)",104100,Matawaia-Taumarere,410.6837121,410.6837121,1691057.53545,6075409.60445,-35.46063564,174.00351206,1691057.5355,6075409.6045
"POINT (1705673.6062 6094535.6416)",104200,Russell Peninsula,26.20135237,26.20135237,1705673.60615,6094535.64155,-35.28676755,174.16208813,1705673.6062,6094535.6416
"POINT (1700188.8278 6092158.5099)",104300,Opua (Far North District),5.62247307,5.62247307,1700188.8278,6092158.5099,-35.30876255,174.102073,1700188.8278,6092158.5099
"POINT (1712010.9934 6091292.2355)",104400,Russell Forest-Rawhiti,191.37950948,191.37950948,1712010.9934,6091292.2355,-35.315317,174.2322094,1712010.9934,6091292.2355
"POINT (1692860.5542 6083721.5652)",104500,Moerewa,1.87566952,1.87566952,1692860.5542,6083721.56515,-35.38553342,174.02243225,1692860.5542,6083721.5652
"POINT (1697141.5159 6084114.8591)",104600,Kawakawa,1.73247964,1.73247964,1697141.51585,6084114.8591,-35.38157971,174.0695134,1697141.5159,6084114.8591
"POINT (1703540.6805 6073319.553)",104700,Maromaku,238.30862311,238.30862311,1703540.68045,6073319.553,-35.47825535,174.1413276,1703540.6805,6073319.553
"POINT (1690731.954 6054073.0274)",104800,Mangakahia-Hukerenui,658.54706101,658.54706101,1690731.954,6054073.02735,-35.65301955,174.0023164,1690731.954,6054073.0274
"POINT (1721323.0573 6071828.3944)",104900,Whangaruru,469.35201031,469.35201031,1721323.0573,6071828.39445,-35.48968435,174.33752102,1721323.0573,6071828.3944
"POINT (1727992.567 6072310.4536)",105000,Inlets other Whangarei District,0,39.02456944,1727992.567,6072310.4536,-35.48450177,174.41095339,1727992.567,6072310.4536
"POINT (1710082.8071 6051189.4432)",105100,Matarau,108.38593904,108.38593904,1710082.8071,6051189.44325,-35.67704478,174.21644035,1710082.8071,6051189.4432
"POINT (1716603.0205 6060265.3993)",105200,Hikurangi,4.0002501,4.0002501,1716603.02045,6060265.3993,-35.5944828,174.28716175,1716603.0205,6060265.3993
"POINT (1716506.553 6056388.2593)",105300,Kauri,56.10398784,56.10398784,1716506.55295,6056388.25925,-35.62944367,174.28665672,1716506.553,6056388.2593
"POINT (1704387.7144 6041826.8268)",105400,Maungatapere,174.47962567,174.47962567,1704387.71435,6041826.82675,-35.76206371,174.15473729,1704387.7144,6041826.8268
"POINT (1717209.459 6051872.6716)",105500,Kamo West,4.49900752,4.49900752,1717209.45895,6051872.67155,-35.67006476,174.29507452,1717209.459,6051872.6716
"POINT (1733896.0415 6059638.1411)",105600,Matapouri-Tutukaka,78.46534341,78.46534341,1733896.0415,6059638.1411,-35.59794692,174.47810741,1733896.0415,6059638.1411
"POINT (1727003.2922 6054324.7915)",105700,Kiripaka,72.06743057,72.06743057,1727003.2922,6054324.79145,-35.64674958,174.40287423,1727003.2922,6054324.7915
"POINT (1718531.5152 6051033.3223)",105800,Kamo East,1.42716225,1.42716225,1718531.51515,6051033.3223,-35.67747272,174.30980246,1718531.5152,6051033.3223
"POINT (1717178.6089 6049644.807)",105900,Granfield Reserve,1.66090904,1.66090904,1717178.60885,6049644.80695,-35.69015065,174.29505823,1717178.6089,6049644.807
"POINT (1718050.2629 6050382.7245)",106000,Kamo Central,1.09354706,1.09354706,1718050.2629,6050382.72445,-35.683395,174.30458121,1718050.2629,6050382.7245
"POINT (1717223.8601 6047974.585)",106100,Whau Valley,7.18025885,7.18025885,1717223.8601,6047974.585,-35.70520079,174.29580182,1717223.8601,6047974.585
"POINT (1719725.175 6050642.5042)",106200,Tikipunga North,2.74100722,2.74100722,1719725.17495,6050642.5042,-35.68085136,174.32304772,1719725.175,6050642.5042
"POINT (1713476.1134 6043447.606)",106300,Pukenui,19.19103565,19.19103565,1713476.11335,6043447.60605,-35.74644668,174.25502298,1713476.1134,6043447.606
"POINT (1719222.6634 6049268.4777)",106400,Otangarei,1.03955837,1.03955837,1719222.66335,6049268.47775,-35.69329776,174.31769963,1719222.6634,6049268.4777
"POINT (1720484.3659 6049109.5032)",106500,Tikipunga South,2.74033953,2.74033953,1720484.3659,6049109.50315,-35.69457731,174.33166497,1720484.3659,6049109.5032
"POINT (1718898.2089 6047224.8003)",106600,Kensington (Whangarei District),3.11118529,3.11118529,1718898.20885,6047224.80025,-35.71175869,174.31441684,1718898.2089,6047224.8003
"POINT (1723144.9311 6048028.7427)",106700,Abbey Caves-Glenbervie,32.11865017,32.11865017,1723144.9311,6048028.74265,-35.70399025,174.36122936,1723144.9311,6048028.7427
"POINT (1719803.5126 6048016.3196)",106800,Mairtown,0.94419075,0.94419075,1719803.51255,6048016.31955,-35.70451425,174.32430453,1719803.5126,6048016.3196
"POINT (1716685.3432 6044390.563)",106900,Maunu-Horahora,4.29745554,4.29745554,1716685.3432,6044390.56295,-35.73757136,174.29037127,1716685.3432,6044390.563
"POINT (1718435.569 6045536.2537)",107000,Woodhill-Vinetown,1.38522205,1.38522205,1718435.56895,6045536.25365,-35.727035,174.30955264,1718435.569,6045536.2537
"POINT (1719767.9715 6045487.5287)",107100,Whangarei Central,2.81299371,2.81299371,1719767.9715,6045487.5287,-35.72731299,174.3242889,1719767.9715,6045487.5287
"POINT (1721158.8975 6045615.0001)",107200,Riverside,3.50780578,3.50780578,1721158.8975,6045615.0001,-35.72599375,174.33964555,1721158.8975,6045615.0001
"POINT (1717540.7935 6042818.2809)",107300,Raumanga,3.46035972,3.46035972,1717540.7935,6042818.28085,-35.75164209,174.3000596,1717540.7935,6042818.2809
"POINT (1718367.0816 6043895.7743)",107400,Tarewa,0.94067805,0.94067805,1718367.08155,6043895.7743,-35.7418305,174.30903757,1718367.0816,6043895.7743
"POINT (1719371.6494 6044486.1214)",107500,Morningside (Whangarei District),1.20188251,1.20188251,1719371.6494,6044486.12135,-35.73638776,174.32005673,1719371.6494,6044486.1214
"POINT (1736428.2438 6056163.934)",107600,Ngunguru,3.56520869,3.56520869,1736428.2438,6056163.934,-35.62891528,174.5066396,1736428.2438,6056163.934
"POINT (1716260.3769 6038891.9355)",107700,Otaika-Portland,41.34127459,41.34127459,1716260.37685,6038891.93545,-35.78718642,174.2864707,1716260.3769,6038891.9355
