SA22018_V1_00,SA22018_V1_00_NAME,REGC2018_V1_00,REGC2018_V1_00_NAME,TA2018_V1_00,TA2018_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,Shape_Length
187000,Herangi,3,Waikato Region,20,Waitomo District,1668.10266361,1668.10266361,314448.557707
187500,Waipa Valley,3,Waikato Region,20,Waitomo District,817.65608004,817.65608004,203593.6113
187600,Tiroa,8,Manawatu-Wanganui Region,20,Waitomo District,182.31573171,182.31573171,68477.4840392
187700,Marotiri,3,Waikato Region,21,Taupo District,744.19100624,744.19100624,146011.095712
187800,Ohakuri,3,Waikato Region,21,Taupo District,543.10499695,543.10499695,123353.328064
187900,Lake Taupo Bays,3,Waikato Region,21,Taupo District,1154.66742351,1170.01634866,335094.197805
188000,Mapara,3,Waikato Region,21,Taupo District,140.66578495,140.66578495,79055.704871
202500,Coastlands,4,Bay of Plenty Region,25,Whakatane District,15.66269736,15.66269736,20268.3192898
203100,Wainui,4,Bay of Plenty Region,25,Whakatane District,86.64580671,86.64580671,94360.7122108
203200,Ohope,4,Bay of Plenty Region,25,Whakatane District,6.33352735,6.33352735,29239.693994
203300,Inlet Ohiwa Harbour West,4,Bay of Plenty Region,25,Whakatane District,0,14.70959166,52321.6634408
203400,Galatea,4,Bay of Plenty Region,25,Whakatane District,2199.74702272,2199.74702272,325124.079458
203500,Waingarara-Waimana,4,Bay of Plenty Region,25,Whakatane District,1448.06962233,1448.06962233,234418.076725
259300,Oceanic Manawatu-Wanganui Region West,8,Manawatu-Wanganui Region,999,Area Outside Territorial Authority,0,2088.91937898,241682.36964
259400,Oceanic Hawke's Bay Region,6,Hawke's Bay Region,999,Area Outside Territorial Authority,0,7252.26359009,690090.915701
259500,Inlet Port Napier,6,Hawke's Bay Region,999,Area Outside Territorial Authority,0,0.23113867,3035.06687994
300700,Takaka Hills,16,Tasman Region,51,Tasman District,277.43395578,277.43395578,113036.133533
300800,Kaiteriteri-Riwaka,16,Tasman Region,51,Tasman District,28.56948379,28.56948379,57567.4668233
300900,Upper Moutere,16,Tasman Region,51,Tasman District,445.96586433,445.96586433,136877.783494
301000,Lower Moutere,16,Tasman Region,51,Tasman District,62.01796388,62.01796388,55503.0950821
147400,Sylvia Park,2,Auckland Region,76,Auckland,0.55720563,0.55720563,4547.92675843
229800,Palmerston North Hospital,8,Manawatu-Wanganui Region,40,Palmerston North City,1.07412464,1.07412464,4257.5796228
100100,North Cape,1,Northland Region,1,Far North District,826.78512205,826.78512205,415921.153718
100200,Rangaunu Harbour,1,Northland Region,1,Far North District,272.10405305,272.10405305,149824.717104
100300,Inlets Far North District,1,Northland Region,1,Far North District,0,625.97275382,1359238.54485
100400,Karikari Peninsula,1,Northland Region,1,Far North District,174.18081591,174.18081591,140012.346179
100500,Tangonge,1,Northland Region,1,Far North District,177.20434269,177.20434269,101241.085328
103300,Puketona-Waitangi,1,Northland Region,1,Far North District,156.38492968,156.38492968,145340.889045
103400,Ngapuhi,1,Northland Region,1,Far North District,175.39009407,175.39009407,102074.361902
103800,Russell,1,Northland Region,1,Far North District,3.27931477,3.27931477,12458.2132621
104000,Mataraua Forest,1,Northland Region,1,Far North District,272.9269353,272.9269353,101486.537915
104100,Matawaia-Taumarere,1,Northland Region,1,Far North District,410.6837121,410.6837121,174897.313902
104200,Russell Peninsula,1,Northland Region,1,Far North District,26.20135237,26.20135237,75574.052052
104300,Opua (Far North District),1,Northland Region,1,Far North District,5.62247307,5.62247307,19571.5134111
104400,Russell Forest-Rawhiti,1,Northland Region,1,Far North District,191.37950948,191.37950948,284625.270361
104700,Maromaku,1,Northland Region,1,Far North District,238.30862311,238.30862311,92072.6468575
104800,Mangakahia-Hukerenui,1,Northland Region,2,Whangarei District,658.54706101,658.54706101,194666.279766
104900,Whangaruru,1,Northland Region,2,Whangarei District,469.35201031,469.35201031,293153.566819
105000,Inlets other Whangarei District,1,Northland Region,2,Whangarei District,0,39.02456944,201413.83886
105100,Matarau,1,Northland Region,2,Whangarei District,108.38593904,108.38593904,84294.0816545
105300,Kauri,1,Northland Region,2,Whangarei District,56.10398784,56.10398784,57795.5049068
105400,Maungatapere,1,Northland Region,2,Whangarei District,174.47962567,174.47962567,93411.4739235
105600,Matapouri-Tutukaka,1,Northland Region,2,Whangarei District,78.46534341,78.46534341,86818.2530884
105700,Kiripaka,1,Northland Region,2,Whangarei District,72.06743057,72.06743057,76036.230343
245500,Waterloo West,9,Wellington Region,46,Lower Hutt City,0.72699777,0.72699777,3963.29264768
256500,Whareama,9,Wellington Region,48,Masterton District,1596.02740781,1596.02740781,258938.904599
257100,Carterton South,9,Wellington Region,49,Carterton District,2.93664511,2.93664511,7276.0065461
