Name,Commute out (Mtij),Commute in (Mtji),Name in CommuterView (if different),,,
Fiordland,-,-,,,,
Inland water Lake Te Anau,-,-,,,,
Mararoa,351,162,(Mararoa River),,,
Inland water Lake Manapouri,-,-,,,,
Te Anau,237,351,,,,
Whitestone,-,-,,,,
Mossburn,33,66,,,,
Longwood Forest,-,-,,,,
Ohai-Nightcaps,48,18,(Ohai),,,
Riversdale-Piano Flat,105,57,(Riversdale Community),,,
Lumsden-Balfour,69,93,(Lumsden Community),,,
Oreti River,222,489,(Oreti Beach),,,
Otautau,150,93,,,,
Hedgehope,-,-,,,,
Winton,471,519,,,,
Waianiwa,489,666,,,,
Riverton,387,243,(Riverton East + Riverton West),,,
Wallacetown,282,69,,,,
Grove Bush,-,-,,,,
Edendale-Woodlands,144,372,(Edendale Community),,,
Inlets other Southland District,-,-,,,,
Stewart Island,30,51,,,,
Awarua Plains,-,-,,,,
Wyndham-Catlins,117,111,(Wyndham),,,
Waikaka,-,-,,,,
Waimumu-Kaiwera,165,174,(Kaiwera),,,
Gore North,525,459,,,,
Gore West,936,357,,,,
East Gore,513,120,,,,
Gore Central,150,1287,,,,
Gore Main,-,-,,,,
Gore South,273,138,,,,
Mataura,303,360,,,,
West Plains-Makarewa,657,480,(Makarewa + Makawera North),,,
Prestonville-Grasmere,1332,555,(Grasmere),,,
Donovan Park,-,-,,,,
Myross Bush,249,51,,,,
Otatara,1200,96,,,,
Invercargill Central,-,-,,,,
Gladstone (Invercargill City),1512,1146,(Gladstone-Avenal),,,
Rosedale,1692,303,,,,
Avenal,-,-,Add to Gladstone,,,
Hargest,-,-,,,,
Windsor,1212,381,,,,
Richmond (Invercargill City),1119,282,(Richmond),,,
Glengarry,-,-,,,,
Inlet New River Estuary,-,-,,,,
Turnbull Thompson Park,-,-,,,,
Crinan,477,459,,,,
Georgetown,795,258,,,,
Kew (Invercargill City),-,-,,,,
Kennington-Tisbury,102,75,(Tisbury),,,
Newfield,999,759,(Newfield-Rockdale),,,
Strathern,795,258,,,,
Elizabeth Park,-,-,,,,
Aurora,-,-,,,,
Moulson,-,-,,,,
Kingswell,1269,111,(Kingswell-Clifton),,,
Clifton,-,-,With Kingswell,,,
Woodend-Greenhills,303,552,(Greenhills),,,
Inlet Bluff Harbour,-,-,,,,
Bluff,363,177,,,,
Oceanic Southland Region,-,-,,,,
